Pesticide Name,Commodity,Number of Samples Analyzed,Number of Samples with Detects,Pct of Samples with Detects,Min Detect,Max Detect,LOD Range,pp_,EPA Tolerance (ppm)
"1-Naphthol","Apples","177","1","0.6","0.48","0.48","0.015","M","12"
"1-Naphthol","Carrots","708","0"," "," "," ","0.05","M","2.0"
"1-Naphthol","Green Beans","726","9","1.2","0.018","0.29","0.006 - 0.06","M","10"
"1-Naphthol","Nectarines","681","1","0.1","0.1264","0.1264","0.015","M","10"
"1-Naphthol","Oats","314","0"," "," "," ","0.25","M","NT"
"1-Naphthol","Rice","314","0"," "," "," ","0.25","M","15"
"1-Naphthol","Summer Squash","261","1","0.4","0.03","0.03","0.02","M","3.0"
"1-Naphthol","Sweet Corn, Fresh","56","0"," "," "," ","0.01","M","0.1"
"1-Naphthol","Sweet Corn, Frozen","29","0"," "," "," ","0.01","M","0.1"
"1-Naphthol","Watermelon","390","0"," "," "," ","0.015","M","3.0"
"2,4,5-T","Blueberries, Cultivated","354","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Blueberries, Frozen","5","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Celery","348","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Strawberries","176","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Summer Squash","270","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Sweet Corn, Fresh","78","0"," "," "," ","0.1","M","NT"
"2,4,5-T","Sweet Corn, Frozen","12","0"," "," "," ","0.1","M","NT"
"2,4-D","Blueberries, Cultivated","354","0"," "," "," ","0.05","M","0.2"
"2,4-D","Blueberries, Frozen","5","0"," "," "," ","0.05","M","0.2"
"2,4-D","Celery","348","0"," "," "," ","0.05","M","0.4"
"2,4-D","Strawberries","176","0"," "," "," ","0.05","M","0.05"
"2,4-D","Summer Squash","270","0"," "," "," ","0.05","M","0.05"
"2,4-D","Sweet Corn, Fresh","78","0"," "," "," ","0.05","M","0.05"
"2,4-D","Sweet Corn, Frozen","12","0"," "," "," ","0.05","M","0.05"
"2,4-DB","Blueberries, Cultivated","354","0"," "," "," ","0.1","M","NT"
"2,4-DB","Blueberries, Frozen","5","0"," "," "," ","0.1","M","NT"
"2,4-DB","Celery","348","0"," "," "," ","0.1","M","NT"
"2,4-DB","Strawberries","176","0"," "," "," ","0.1","M","NT"
"2,4-DB","Summer Squash","270","0"," "," "," ","0.1","M","NT"
"2,4-DB","Sweet Corn, Fresh","78","0"," "," "," ","0.1","M","NT"
"2,4-DB","Sweet Corn, Frozen","12","0"," "," "," ","0.1","M","NT"
"3-Hydroxycarbofuran","Apples","177","0"," "," "," ","0.003","M","NT"
"3-Hydroxycarbofuran","Bananas","179","0"," "," "," ","0.002","M","0.1"
"3-Hydroxycarbofuran","Blueberries, Cultivated","688","2","0.3","0.0022","0.0031","0.002 - 0.01","M","NT"
"3-Hydroxycarbofuran","Blueberries, Frozen","19","0"," "," "," ","0.002 - 0.01","M","NT"
"3-Hydroxycarbofuran","Broccoli","712","0"," "," "," ","0.01","M","NT"
"3-Hydroxycarbofuran","Carrots","708","0"," "," "," ","0.05","M","NT"
