85,"t","2015 Organic Survey: Released September 15, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
85,"t","Table 9.  Certified Organic Field Crops Harvested and Value of Sales:  2015 (continued)"
85,"t","[For meaning of abbreviations and symbols, see introductory text.]"
85,"h","","","","","","",""
85,"h","","Harvested","Harvested","Harvested","Value of sales","Value of sales","Value of sales"
85,"h","","","","","","",""
85,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
85,"h","","","","","","",""
85,"d","TOBACCO (POUNDS) - Con.",,,,,,
85,"d","",,,,,,
85,"d","Tennessee",3,21,41600,3,41600,145040
85,"d","Virginia",51,2390,5320984,51,5310984,18697152
85,"d","Wisconsin",4,25,54000,4,54000,117000
85,"d","",,,,,,
85,"d","WHEAT, ALL (BUSHELS)",,,,,,
85,"d","",,,,,,
85,"d","United States",1035,301950,9016548,948,7866708,108624881
85,"d","",,,,,,
85,"d","Arizona",5,882,84779,5,84779,1973947
85,"d","California",30,10097,318467,30,301062,4695422
85,"d","Colorado",34,16172,410645,34,307367,3766110
85,"d","Delaware",1,"(D)","(D)",1,"(D)","(D)"
85,"d","Georgia",2,"(D)","(D)",2,"(D)","(D)"
85,"d","",,,,,,
85,"d","Idaho",31,10231,411323,30,361262,4856378
85,"d","Illinois",35,2945,141169,34,123709,1198057
85,"d","Indiana",15,259,7316,6,4920,54917
85,"d","Iowa",37,2298,71060,35,66581,746682
85,"d","Kansas",37,15167,495877,36,334764,5460620
85,"d","",,,,,,
85,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)"
85,"d","Maine",20,302,13684,20,11913,179448
85,"d","Maryland",9,124,6245,9,5573,71462
85,"d","Massachusetts",1,"(D)","(D)",1,"(D)","(D)"
85,"d","Michigan",48,4241,250072,44,246866,3030798
85,"d","",,,,,,
85,"d","Minnesota",56,4787,194918,50,132460,1999139
85,"d","Missouri",21,2133,75623,17,73380,776572
85,"d","Montana",70,71594,1789604,70,1713356,27048248
85,"d","Nebraska",51,18709,467562,48,348703,5272640
85,"d","Nevada",1,"(D)","(D)",-,-,-
85,"d","",,,,,,
85,"d","New Jersey",3,61,645,2,"(D)","(D)"
85,"d","New Mexico",7,3318,86065,7,84947,1089011
85,"d","New York",54,2781,122201,45,95825,1165573
85,"d","North Carolina",21,2727,112640,21,105944,1275734
85,"d","North Dakota",60,16753,413301,60,344735,5929828
85,"d","",,,,,,
85,"d","Ohio",57,3078,136822,47,108969,1211394
85,"d","Oklahoma",5,1430,34269,5,30196,380639
85,"d","Oregon",25,5452,310216,23,278359,3770181
85,"d","Pennsylvania",27,2705,124032,18,72938,885394
85,"d","South Dakota",39,9013,263832,39,171792,2565945
85,"d","",,,,,,
85,"d","Tennessee",1,"(D)","(D)",1,"(D)","(D)"
85,"d","Texas",15,2791,71517,15,65270,860778
85,"d","Utah",28,41834,876779,28,800346,12171794
85,"d","Vermont",9,386,12234,9,5853,62150
85,"d","Virginia",20,1846,76589,18,74820,779990
85,"d","",,,,,,
85,"d","Washington",32,4270,313237,30,291873,3859636
85,"d","Wisconsin",87,3480,154160,70,106233,1101108
85,"d","Wyoming",39,39928,1164588,36,1107243,10320752
85,"d","",,,,,,
85,"d","WHEAT, DURUM FOR GRAIN OR",,,,,,
85,"d"," SEED (BUSHELS)",,,,,,
85,"d","",,,,,,
85,"d","United States",42,10544,349529,42,345947,7502099
85,"d","",,,,,,
85,"d","Arizona",5,882,84779,5,84779,1973947
85,"d","California",5,1082,47318,5,47318,1078816
85,"d","Idaho",1,"(D)","(D)",1,"(D)","(D)"
85,"d","Michigan",1,"(D)","(D)",1,"(D)","(D)"
85,"d","Montana",14,7324,183300,14,180250,3767591
85,"d","",,,,,,
85,"d","North Dakota",4,802,16050,4,16050,353010
85,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
85,"c",""
85,"c","--continued"
