;;;;;;;
;;Harvested;Harvested;Harvested;Total  gross value of sales;Total  gross value of sales;Total  gross value of sales
;Crop and geographic area;Farms;Acres;Production;Farms;Quantity;Dollars
;United States;415;41645;1974240;234;1518728;12275953
;Arizona;1;(D);(D);1;(D);(D)
;California;14;3489;170022;11;167567;1362694
;Colorado;5;766;63265;5;63265;500189
;Delaware;2;(D);(D);2;(D);(D)
;Idaho;51;13758;596426;41;435840;3275235
;Illinois;4;44;1549;1;(D);(D)
;Indiana;1;(D);(D);-;-;-
;Iowa;27;1411;66900;20;40631;315068
;Kansas;4;178;3974;3;2635;21639
;Kentucky;1;(D);(D);1;(D);(D)
;Maine;3;91;4107;-;-;-
;Maryland;3;48;2540;1;(D);(D)
;Michigan;2;(D);(D);1;(D);(D)
;Minnesota;43;2868;112573;18;63744;508322
;Missouri;7;142;8443;4;6557;52744
;Montana;14;2682;66284;14;57431;435251
;Nebraska;6;262;6794;4;2978;17290
;Nevada;2;(D);(D);-;-;-
;New York;30;905;31615;19;20140;166759
;North Carolina;4;280;20982;4;20808;166289
;North Dakota;13;2604;37788;10;27768;217670
;Ohio;19;868;41715;6;31438;211884
;Oklahoma;1;(D);(D);-;-;-
;Oregon;19;5545;492553;19;492553;4340936
;Pennsylvania;14;201;11593;4;4066;34838
;South Dakota;6;669;16901;5;15041;114078
;Texas;1;(D);(D);-;-;-
;Utah;3;211;11269;2;(D);(D)
;Vermont;1;(D);(D);-;-;-
;Virginia;4;283;17919;-;-;-
;Washington;11;277;15871;6;11853;113970
;Wisconsin;97;3004;140572;30;29856;223723
;Wyoming;2;(D);(D);2;(D);(D)
