;;;;;;;
;;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.
;;Sold as certified organic;Sold as certified organic;Sold as certified organic;Sold as conventional;Sold as conventional;Sold as conventional
;Crop and geographic area;Farms;Quantity;Dollars;Farms;Quantity;Dollars
;United States;228;1494156;12106324;10;24572;169629
;Arizona;1;(D);(D);-;-;-
;California;11;(D);(D);1;(D);(D)
;Colorado;5;63265;500189;-;-;-
;Delaware;2;(D);(D);-;-;-
;Idaho;40;430455;3247482;4;5385;27753
;Illinois;1;(D);(D);-;-;-
;Indiana;-;-;-;-;-;-
;Iowa;20;40631;315068;-;-;-
;Kansas;3;2635;21639;-;-;-
;Kentucky;1;(D);(D);-;-;-
;Maine;-;-;-;-;-;-
;Maryland;1;(D);(D);-;-;-
;Michigan;1;(D);(D);-;-;-
;Minnesota;16;61994;499722;3;1750;8600
;Missouri;4;6557;52744;-;-;-
;Montana;13;(D);(D);1;(D);(D)
;Nebraska;4;2978;17290;-;-;-
;Nevada;-;-;-;-;-;-
;New York;19;20140;166759;-;-;-
;North Carolina;4;20808;166289;-;-;-
;North Dakota;10;27768;217670;-;-;-
;Ohio;6;31438;211884;-;-;-
;Oklahoma;-;-;-;-;-;-
;Oregon;19;492553;4340936;-;-;-
;Pennsylvania;4;4066;34838;-;-;-
;South Dakota;5;15041;114078;-;-;-
;Texas;-;-;-;-;-;-
;Utah;2;(D);(D);-;-;-
;Vermont;-;-;-;-;-;-
;Virginia;-;-;-;-;-;-
;Washington;6;11853;113970;-;-;-
;Wisconsin;29;(D);(D);1;(D);(D)
;Wyoming;2;(D);(D);-;-;-
