;;;;;;;
;;;;;Sales;Sales;Sales
;;Harvested;Harvested;Harvested;Total  gross value of sales;Total  gross value of sales;Total  gross value of sales
;Crop and geographic area;Farms;Acres;Production;Farms;Quantity;Dollars
;United States;1903;134877;14238189;1113;9518359;101482432
;California;12;1370;160461;9;66021;702773
;Colorado;10;887;121304;10;93723;908378
;Georgia;2;(D);(D);2;(D);(D)
;Idaho;1;(D);(D);1;(D);(D)
;Illinois;75;6983;866564;65;816244;9014848
;Indiana;78;1502;167506;27;67694;660415
;Iowa;301;18984;2203305;197;1509099;16036181
;Kansas;22;3688;564431;18;(D);3502646
;Kentucky;6;61;3927;3;3163;34610
;Maine;5;310;34438;5;34438;358566
;Maryland;12;1568;137037;8;115841;1385672
;Michigan;91;13226;1427435;66;1302497;14128853
;Minnesota;222;20432;1990642;132;1289114;13368085
;Missouri;34;945;42891;27;28951;328652
;Montana;1;(D);(D);1;(D);(D)
;Nebraska;72;9111;1008380;70;775306;9520751
;New Jersey;2;(D);(D);-;-;-
;New York;125;13150;1103179;90;920731;8688569
;North Carolina;8;607;44906;8;44906;454410
;North Dakota;9;1194;75827;5;46869;462268
;Ohio;165;6899;762858;82;413219;4548408
;Oregon;11;2734;417508;9;363780;4155847
;Pennsylvania;146;3262;327312;49;119353;1298913
;South Carolina;1;(D);(D);1;(D);(D)
;South Dakota;32;4410;305840;19;217450;2301646
;Tennessee;3;(D);(D);3;10561;(D)
;Texas;4;1109;64073;4;64073;648149
;Vermont;5;373;38506;1;(D);(D)
;Virginia;6;289;13280;2;(D);(D)
;Washington;9;1266;168378;9;168314;1961546
;West Virginia;1;(D);(D);-;-;-
;Wisconsin;431;20059;2158408;190;648355;6617317
;Wyoming;1;(D);(D);-;-;-
