;;;;;;;
;;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.
;;Sold as certified organic;Sold as certified organic;Sold as certified organic;Sold as conventional;Sold as conventional;Sold as conventional
;Crop and geographic area;Farms;Quantity;Dollars;Farms;Quantity;Dollars
;United States;364;1198257;6293886;36;58822;211440
;Alabama;-;-;-;-;-;-
;California;9;42260;298474;-;-;-
;Idaho;1;(D);(D);-;-;-
;Illinois;29;142286;736690;4;13824;60969
;Indiana;2;(D);(D);-;-;-
;Iowa;72;293293;1549815;17;16463;60178
;Kansas;5;6189;24327;-;-;-
;Kentucky;1;(D);(D);-;-;-
;Maine;4;7480;40230;-;-;-
;Maryland;-;-;-;-;-;-
;Michigan;13;(D);(D);1;(D);(D)
;Minnesota;50;264371;1391776;5;3084;8718
;Missouri;5;3970;21385;-;-;-
;Montana;9;10816;65765;-;-;-
;Nebraska;9;37142;168784;-;-;-
;New Hampshire;-;-;-;-;-;-
;New Mexico;3;(D);1729;-;-;-
;New York;34;40489;215991;-;-;-
;North Carolina;2;(D);(D);-;-;-
;North Dakota;22;166718;869897;-;-;-
;Ohio;14;9861;30707;-;-;-
;Oregon;2;(D);(D);-;-;-
;Pennsylvania;5;2531;12968;-;-;-
;South Carolina;1;(D);(D);-;-;-
;South Dakota;12;(D);(D);2;(D);(D)
;Utah;1;(D);(D);-;-;-
;Vermont;2;(D);(D);-;-;-
;Washington;2;(D);(D);-;-;-
;Wisconsin;53;44635;214184;5;5751;17055
;Wyoming;2;(D);(D);2;(D);(D)
