;;;;;;;
;;;;;Sales;Sales;Sales
;;Harvested;Harvested;Harvested;Total  gross value of sales;Total  gross value of sales;Total  gross value of sales
;Crop and geographic area;Farms;Acres;Production;Farms;Quantity;Dollars
;United States;37;3428;207719;27;169666;1579299
;Illinois;1;(D);(D);1;(D);(D)
;Indiana;1;(D);(D);-;-;-
;Kansas;20;2613;162211;15;131949;1226991
;Maryland;2;(D);(D);-;-;-
;Missouri;5;279;16847;5;16847;176591
;New Jersey;1;(D);(D);-;-;-
;North Carolina;3;397;19167;3;15627;120052
;North Dakota;2;(D);(D);2;(D);(D)
;Ohio;1;(D);(D);-;-;-
;Wisconsin;1;(D);(D);1;(D);(D)
