;;;;;;;
;;;;;Value of sales;Value of sales;Value of sales
;;Harvested;Harvested;Harvested;Total;Total;Total
;Crop and geographic area;Farms;Acres;Quantity;Farms;Quantity;Dollars
;United States;2735;167812;18596637;1889;13532761;154909961
;Alabama;2;(D);(D);2;(D);(D)
;California;13;593;96768;12;89626;1218931
;Colorado;11;532;63576;7;62856;686876
;Connecticut;2;(D);(D);2;(D);(D)
;Delaware;1;(D);(D);1;(D);(D)
;Georgia;7;44;3806;5;2188;19952
;Idaho;11;194;31668;10;22690;281286
;Illinois;127;10361;1445248;112;1292984;15601355
;Indiana;152;3646;410497;62;132899;1450148
;Iowa;385;24792;2845219;309;2382472;26840523
;Kansas;21;3681;555678;20;492778;5115847
;Kentucky;15;209;18796;9;7632;97158
;Louisiana;2;(D);(D);1;(D);(D)
;Maine;21;(D);38090;19;22509;227559
;Maryland;22;2650;326521;18;320019;4343399
;Massachusetts;4;6;580;4;60;935
;Michigan;132;13067;1436666;106;1275780;15134131
;Minnesota;278;21832;2254508;228;1511472;16724090
;Missouri;74;3732;369172;63;287072;3636079
;Montana;3;3;316;3;(D);(D)
;Nebraska;82;9291;1363937;79;1291150;14252613
;New Jersey;2;(D);(D);2;(D);(D)
;New Mexico;3;(D);(D);3;(D);(D)
;New York;201;(D);1032313;110;711028;8476603
;North Carolina;10;746;74653;8;70393;678917
;North Dakota;17;5219;367759;16;350462;4048933
;Ohio;244;10143;965403;152;657939;7843423
;Oregon;12;1887;192936;11;104712;1181279
;Pennsylvania;256;10952;1260406;135;475520;5936522
;South Dakota;27;3315;291820;26;247980;2800539
;Tennessee;11;326;30122;9;27088;338049
;Texas;15;4182;459552;15;413124;4263796
;Utah;1;(D);(D);1;(D);(D)
;Vermont;8;364;39530;1;(D);(D)
;Virginia;9;(D);(D);9;(D);(D)
;Washington;9;1913;167339;8;159470;1859559
;West Virginia;1;(D);(D);-;-;-
;Wisconsin;539;21408;2129423;307;880799;9352760
;Wyoming;5;690;100500;4;54000;520000
