;;;;;;;
;;Value of sales - con.;Value of sales - con.;Value of sales - con.;Value of sales - con.;Value of sales - con.;Value of sales - con.
;;Sold as organic;Sold as organic;Sold as organic;Sold as conventional;Sold as conventional;Sold as conventional
;Crop and geographic area;Farms;Quantity;Dollars;Farms;Quantity;Dollars
;United States;1847;13276737;153902969;326;256024;1006992
;Alabama;2;(D);(D);-;-;-
;California;12;89626;1218931;-;-;-
;Colorado;7;62856;686876;-;-;-
;Connecticut;2;(D);(D);2;(D);(D)
;Delaware;1;(D);(D);-;-;-
;Georgia;5;(D);(D);2;(D);(D)
;Idaho;10;22690;281286;-;-;-
;Illinois;112;1229022;15352540;16;63962;248815
;Indiana;60;130962;(D);15;1937;(D)
;Iowa;301;2351177;26728762;62;31295;111761
;Kansas;18;490059;5106038;6;2719;9809
;Kentucky;9;7632;97158;-;-;-
;Louisiana;1;(D);(D);-;-;-
;Maine;19;(D);(D);1;(D);(D)
;Maryland;18;319642;4341914;5;377;1485
;Massachusetts;4;60;935;-;-;-
;Michigan;104;1258975;15070030;20;16805;64101
;Minnesota;224;1495162;16661999;42;16310;62091
;Missouri;63;286416;3633614;14;656;2465
;Montana;3;(D);(D);-;-;-
;Nebraska;76;1272271;14178851;20;18879;73762
;New Jersey;2;(D);(D);-;-;-
;New Mexico;3;(D);(D);1;(D);(D)
;New York;104;684784;8377081;15;26244;99522
;North Carolina;7;(D);(D);2;(D);(D)
;North Dakota;16;(D);(D);3;(D);(D)
;Ohio;147;653028;(D);25;4911;(D)
;Oregon;11;(D);(D);3;(D);(D)
;Pennsylvania;133;467931;(D);24;7589;(D)
;South Dakota;25;(D);(D);1;(D);(D)
;Tennessee;9;27088;338049;-;-;-
;Texas;15;413124;4263796;-;-;-
;Utah;1;(D);(D);1;(D);(D)
;Vermont;1;(D);(D);-;-;-
;Virginia;9;(D);(D);-;-;-
;Washington;8;(D);(D);2;(D);(D)
;West Virginia;-;-;-;-;-;-
;Wisconsin;301;874312;9328827;44;6487;23933
;Wyoming;4;54000;520000;-;-;-
