;;;;;;;
;;;;;Value of sales;Value of sales;Value of sales
;;Harvested;Harvested;Harvested;Total;Total;Total
;Crop and geographic area;Farms;Acres;Quantity;Farms;Quantity;Dollars
;United States;995;43810;2543591;630;1922735;12152987
;Arizona;2;(D);(D);2;(D);(D)
;California;17;1585;170122;12;123941;708061
;Colorado;2;(D);(D);2;(D);(D)
;Georgia;1;(D);(D);1;(D);(D)
;Idaho;1;(D);(D);-;-;-
;Illinois;46;3003;240076;31;202674;1247996
;Indiana;12;234;9678;3;3920;23520
;Iowa;162;6429;378199;118;288372;1839617
;Kansas;4;82;6730;4;(D);(D)
;Kentucky;2;(D);(D);2;(D);(D)
;Maine;14;142;6271;8;3641;23965
;Maryland;4;73;4477;3;(D);(D)
;Massachusetts;1;(D);(D);-;-;-
;Michigan;34;709;31921;23;20013;124530
;Minnesota;103;5213;256082;64;186330;1272121
;Missouri;13;575;41000;11;37740;246018
;Montana;6;2384;129749;6;79749;527632
;Nebraska;27;1443;73861;25;68129;397369
;New York;108;2949;132890;59;98238;654129
;North Carolina;3;44;1400;2;(D);(D)
;North Dakota;31;5814;347919;29;320597;1985080
;Ohio;88;1951;85475;57;59460;419715
;Oregon;10;431;21972;9;15088;151504
;Pennsylvania;56;979;49527;24;25192;167408
;South Carolina;2;(D);(D);2;(D);(D)
;South Dakota;25;2664;174225;22;159790;1023337
;Texas;1;(D);(D);1;(D);(D)
;Vermont;3;60;3116;1;(D);(D)
;Virginia;2;(D);(D);2;(D);(D)
;Washington;12;96;3417;11;3242;27594
;Wisconsin;198;5073;261965;91;129533;758577
;Wyoming;5;553;31890;5;21190;126130
