;;;;;;;
;;;;;Value of sales;Value of sales;Value of sales
;;Harvested;Harvested;Harvested;Total;Total;Total
;Crop and geographic area;Farms;Acres;Quantity;Farms;Quantity;Dollars
;United States;47;5616;299366;39;266888;2662492
;Colorado;2;(D);(D);2;(D);(D)
;Illinois;1;(D);(D);1;(D);(D)
;Iowa;2;(D);(D);-;-;-
;Kansas;10;930;64455;8;37771;391135
;Kentucky;1;(D);(D);1;(D);(D)
;Maryland;2;(D);(D);1;(D);(D)
;Missouri;6;432;28212;3;26339;243380
;Nebraska;1;(D);(D);1;(D);(D)
;New Mexico;2;(D);(D);2;(D);(D)
;North Dakota;3;(D);(D);3;(D);(D)
;Pennsylvania;1;(D);(D);1;(D);(D)
;Tennessee;1;(D);(D);1;(D);(D)
;Texas;10;2874;151421;10;151421;1517896
;Washington;1;(D);(D);1;(D);(D)
;West Virginia;3;(D);(D);3;144;1437
;Wisconsin;1;(D);(D);1;(D);(D)
