;;;;;;;
;;Value of sales - con.;Value of sales - con.;Value of sales - con.;Value of sales - con.;Value of sales - con.;Value of sales - con.
;;Sold as organic;Sold as organic;Sold as organic;Sold as conventional;Sold as conventional;Sold as conventional
;Crop and geographic area;Farms;Quantity;Dollars;Farms;Quantity;Dollars
;United States;39;(D);(D);1;(D);(D)
;Colorado;2;(D);(D);-;-;-
;Illinois;1;(D);(D);-;-;-
;Iowa;-;-;-;-;-;-
;Kansas;8;(D);(D);1;(D);(D)
;Kentucky;1;(D);(D);-;-;-
;Maryland;1;(D);(D);-;-;-
;Missouri;3;26339;243380;-;-;-
;Nebraska;1;(D);(D);-;-;-
;New Mexico;2;(D);(D);-;-;-
;North Dakota;3;(D);(D);-;-;-
;Pennsylvania;1;(D);(D);-;-;-
;Tennessee;1;(D);(D);-;-;-
;Texas;10;151421;1517896;-;-;-
;Washington;1;(D);(D);-;-;-
;West Virginia;3;144;1437;-;-;-
;Wisconsin;1;(D);(D);-;-;-
