151,"t","Organics Survey: Released February 1, 2010, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
151,"t","Table 26.  Organic Field Crops Harvested from Certified Organic Farms:  2008"
151,"t","[For meaning of abbreviations and symbols, see introductory text]"
151,"h","","","","","",""
151,"h","","Harvested","Harvested","Harvested","Value of sales","Value of sales"
151,"h","","","","","",""
151,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Dollars"
151,"h","","","","","",""
151,"d","BARLEY FOR GRAIN OR SEED (BUSHELS)",,,,,
151,"d","",,,,,
151,"d","United States ",574,47205,"(D)",419,"(D)"
151,"d","",,,,,
151,"d","Arizona ",1,"(D)","(D)",1,"(D)"
151,"d","California ",13,2704,163772,12,990802
151,"d","Colorado ",4,"(D)","(D)",4,"(D)"
151,"d","Idaho ",56,14732,670555,48,4163311
151,"d","Illinois ",3,105,5875,3,"(D)"
151,"d","",,,,,
151,"d","Indiana ",1,"(D)","(D)",1,"(D)"
151,"d","Iowa ",39,1698,77137,31,426443
151,"d","Kansas ",8,474,20546,6,151747
151,"d","Maine ",3,110,5071,3,34379
151,"d","Maryland ",5,"(D)",8756,3,"(D)"
151,"d","",,,,,
151,"d","Michigan ",7,68,3310,7,19832
151,"d","Minnesota ",72,"(D)","(D)",55,"(D)"
151,"d","Missouri ",4,80,3474,3,15459
151,"d","Montana ",18,4784,91036,18,559562
151,"d","Nebraska ",6,256,8345,5,53535
151,"d","",,,,,
151,"d","New York ",45,1457,66084,35,437724
151,"d","North Carolina ",2,"(D)","(D)",2,"(D)"
151,"d","North Dakota ",16,2200,75702,16,706713
151,"d","Ohio ",15,412,21255,12,162851
151,"d","Oklahoma ",2,"(D)","(D)",2,"(D)"
151,"d","",,,,,
151,"d","Oregon ",17,5234,244631,17,3796493
151,"d","Pennsylvania ",25,499,31968,22,215877
151,"d","South Dakota ",8,683,15604,7,88927
151,"d","Texas ",1,"(D)","(D)",-,-
151,"d","Utah ",3,261,6073,3,44679
151,"d","",,,,,
151,"d","Vermont ",6,260,7358,6,61672
151,"d","Virginia ",4,"(D)","(D)",4,"(D)"
151,"d","Washington ",9,231,10336,7,90249
151,"d","Wisconsin ",177,5228,232391,82,653489
151,"d","Wyoming ",4,131,10530,4,82200
151,"d","",,,,,
151,"d","",,,,,
151,"d","",,,,,
151,"d","BEANS, ALL DRY EDIBLE, INCLUDING",,,,,
151,"d"," LIMAS (CWT)",,,,,
151,"d","",,,,,
151,"d","United States ",123,12399,177155,121,8463287
151,"d","",,,,,
151,"d","Arizona ",3,"(D)","(D)",3,"(D)"
151,"d","California ",13,953,13071,13,683936
151,"d","Colorado ",8,1534,6300,8,198889
151,"d","Idaho ",14,623,10346,14,566568
151,"d","Iowa ",4,175,2796,4,113287
151,"d","",,,,,
151,"d","Maine ",2,"(D)","(D)",2,"(D)"
151,"d","Michigan ",32,"(D)","(D)",32,"(D)"
151,"d","Minnesota ",11,397,7060,11,242592
151,"d","Missouri ",2,"(D)","(D)",2,"(D)"
151,"d","Nebraska ",3,176,3632,3,133897
151,"d","",,,,,
151,"d","New York ",4,341,4061,4,247999
151,"d","North Dakota ",7,1433,21834,7,762990
151,"d","Ohio ",1,"(D)","(D)",1,"(D)"
151,"d","Oregon ",4,"(D)","(D)",4,"(D)"
151,"d","Texas ",2,"(D)","(D)",2,"(D)"
151,"d","",,,,,
151,"d","Utah ",1,"(D)","(D)",1,"(D)"
151,"d","Vermont ",2,"(D)","(D)",2,"(D)"
151,"c",""
151,"c","--continued"
