153,"t","Organics Survey: Released February 1, 2010, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
153,"t","Table 26.  Organic Field Crops Harvested from Certified Organic Farms:  2008 - Con."
153,"t","[For meaning of abbreviations and symbols, see introductory text]"
153,"h","","","","","",""
153,"h","","Harvested","Harvested","Harvested","Value of sales","Value of sales"
153,"h","","","","","",""
153,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Dollars"
153,"h","","","","","",""
153,"d","CORN FOR GRAIN OR SEED (BUSHELS) - Con.",,,,,
153,"d","",,,,,
153,"d","North Carolina ",15,"(D)","(D)",15,"(D)"
153,"d","North Dakota ",12,1189,68593,12,645702
153,"d","Ohio ",185,"(D)","(D)",148,5101337
153,"d","Oregon ",7,2328,518037,7,2767011
153,"d","Pennsylvania ",151,"(D)","(D)",105,"(D)"
153,"d","",,,,,
153,"d","South Carolina ",1,"(D)","(D)",1,"(D)"
153,"d","South Dakota ",30,2694,243503,25,1731768
153,"d","Tennessee ",1,"(D)","(D)",1,"(D)"
153,"d","Texas ",7,2985,431235,7,2859293
153,"d","Utah ",2,"(D)","(D)",1,"(D)"
153,"d","",,,,,
153,"d","Vermont ",10,363,51126,10,304081
153,"d","Virginia ",8,802,108052,7,928800
153,"d","Washington ",14,1591,365590,13,1591551
153,"d","Wisconsin ",493,24304,2176125,239,"(D)"
153,"d","Wyoming ",5,331,48800,5,388150
153,"d","",,,,,
153,"d","",,,,,
153,"d","",,,,,
153,"d","CORN FOR SILAGE OR GREENCHOP",,,,,
153,"d"," (TONS)",,,,,
153,"d","",,,,,
153,"d","United States ",659,24832,372949,251,"(D)"
153,"d","",,,,,
153,"d","Arkansas ",3,45,775,1,"(D)"
153,"d","California ",9,"(D)","(D)",6,"(D)"
153,"d","Colorado ",1,"(D)","(D)",1,"(D)"
153,"d","Delaware ",2,"(D)","(D)",2,"(D)"
153,"d","Idaho ",4,"(D)","(D)",1,"(D)"
153,"d","",,,,,
153,"d","Illinois ",4,143,1370,3,35941
153,"d","Indiana ",26,304,5080,12,120242
153,"d","Iowa ",47,904,13200,21,240048
153,"d","Kentucky ",2,"(D)","(D)",2,"(D)"
153,"d","Maine ",6,190,2667,6,132205
153,"d","",,,,,
153,"d","Maryland ",1,"(D)","(D)",1,"(D)"
153,"d","Massachusetts ",1,"(D)","(D)",1,"(D)"
153,"d","Michigan ",14,421,4637,12,200149
153,"d","Minnesota ",63,2998,39950,24,464139
153,"d","Missouri ",4,"(D)","(D)",-,-
153,"d","",,,,,
153,"d","Nebraska ",2,"(D)","(D)",1,"(D)"
153,"d","New York ",87,2995,44623,34,757879
153,"d","Ohio ",44,"(D)","(D)",18,293466
153,"d","Oregon ",10,879,25415,6,750600
153,"d","Pennsylvania ",78,1581,25507,36,677274
153,"d","",,,,,
153,"d","South Dakota ",8,551,5587,2,"(D)"
153,"d","Texas ",1,"(D)","(D)",1,"(D)"
153,"d","Vermont ",20,791,11920,18,454314
153,"d","Virginia ",4,159,2306,2,"(D)"
153,"d","Washington ",7,1404,31811,2,"(D)"
153,"d","",,,,,
153,"d","Wisconsin ",210,"(D)","(D)",37,546101
153,"d","Wyoming ",1,"(D)","(D)",1,"(D)"
153,"d","",,,,,
153,"d","",,,,,
153,"d","COTTON, ALL (BALES)",,,,,
153,"d","",,,,,
153,"d","United States ",30,10555,12352,30,5820838
153,"d","",,,,,
153,"d","Arizona ",2,"(D)","(D)",2,"(D)"
153,"d","California ",4,"(D)","(D)",4,"(D)"
153,"c",""
153,"c","--continued"
