161,"t","Organics Survey: Released February 1, 2010, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
161,"t","Table 26.  Organic Field Crops Harvested from Certified Organic Farms:  2008 - Con."
161,"t","[For meaning of abbreviations and symbols, see introductory text]"
161,"h","","","","","",""
161,"h","","Harvested","Harvested","Harvested","Value of sales","Value of sales"
161,"h","","","","","",""
161,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Dollars"
161,"h","","","","","",""
161,"d","OTHER SPRING WHEAT FOR GRAIN OR",,,,,
161,"d"," SEED (BUSHELS) - Con.",,,,,
161,"d","",,,,,
161,"d","North Dakota ",92,20867,440492,92,6434642
161,"d","Ohio ",2,"(D)","(D)",-,-
161,"d","Oregon ",17,4862,256643,17,4184598
161,"d","Pennsylvania ",1,"(D)","(D)",1,"(D)"
161,"d","South Dakota ",41,6783,190712,35,2435004
161,"d","",,,,,
161,"d","Utah ",4,850,12987,3,111320
161,"d","Vermont ",3,48,401,3,4803
161,"d","Washington ",7,"(D)","(D)",7,630983
161,"d","Wisconsin ",34,"(D)","(D)",22,"(D)"
161,"d","Wyoming ",2,"(D)","(D)",2,"(D)"
161,"d","",,,,,
161,"d","",,,,,
161,"d","",,,,,
161,"d","WINTER WHEAT FOR GRAIN OR SEED",,,,,
161,"d"," (BUSHELS)",,,,,
161,"d","",,,,,
161,"d","United States ",861,202848,5753853,798,68705794
161,"d","",,,,,
161,"d","Arkansas ",1,"(D)","(D)",1,"(D)"
161,"d","California ",25,13903,486627,25,5070240
161,"d","Colorado ",40,23179,553443,40,4730480
161,"d","Delaware ",2,"(D)","(D)",2,"(D)"
161,"d","Idaho ",24,5166,146219,21,1386806
161,"d","",,,,,
161,"d","Illinois ",47,2265,108995,46,1246946
161,"d","Indiana ",9,435,16912,8,151145
161,"d","Iowa ",36,1674,58027,33,527890
161,"d","Kansas ",46,"(D)","(D)",46,"(D)"
161,"d","Kentucky ",2,"(D)","(D)",2,"(D)"
161,"d","",,,,,
161,"d","Maine ",6,106,5095,6,48406
161,"d","Maryland ",3,"(D)","(D)",3,"(D)"
161,"d","Massachusetts ",1,"(D)","(D)",1,"(D)"
161,"d","Michigan ",75,4982,265759,73,2408217
161,"d","Minnesota ",17,976,32917,16,330543
161,"d","",,,,,
161,"d","Missouri ",30,2940,89547,29,911750
161,"d","Montana ",30,16815,398438,30,7027390
161,"d","Nebraska ",62,19228,566882,61,8133016
161,"d","New Mexico ",11,5916,151710,10,932935
161,"d","New York ",44,2415,100908,41,994923
161,"d","",,,,,
161,"d","North Carolina ",10,649,31111,10,403436
161,"d","North Dakota ",12,3081,94001,12,1523666
161,"d","Ohio ",68,2770,99967,57,1123653
161,"d","Oklahoma ",8,1894,49277,8,695384
161,"d","Oregon ",12,"(D)","(D)",12,"(D)"
161,"d","",,,,,
161,"d","Pennsylvania ",33,"(D)","(D)",30,501020
161,"d","South Dakota ",20,8168,297687,18,3598401
161,"d","Tennessee ",1,"(D)","(D)",1,"(D)"
161,"d","Texas ",15,3720,117983,15,1537922
161,"d","Utah ",29,36829,586842,29,8701235
161,"d","",,,,,
161,"d","Vermont ",14,489,19718,14,208697
161,"d","Virginia ",3,"(D)","(D)",3,"(D)"
161,"d","Washington ",13,"(D)","(D)",13,"(D)"
161,"d","Wisconsin ",81,3032,114978,51,775441
161,"d","Wyoming ",31,25079,727993,31,8314796
161,"c",""
161,"c","--continued"
