92,"t","2011 Certified Organic Production Survey: Released October 4, 2012, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
92,"t","Table 6.  Organic Field Crops Harvested and Value of Sales from Certified Organic Farms - United States and States:  2011 (Continued)"
92,"h","","","","","","",""
92,"h","","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con."
92,"h","","","","","","",""
92,"h","","Sold as certified organic","Sold as certified organic","Sold as certified organic","Sold as conventional","Sold as conventional","Sold as conventional"
92,"h","","","","","","",""
92,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
92,"h","","","","","","",""
92,"d","HAYLAGE, OTHER SILAGE, OR",,,,,,
92,"d"," GREENCHOP (TONS) - Con.",,,,,,
92,"d","",,,,,,
92,"d","Texas",3,"(D)","(D)",1,"(D)","(D)"
92,"d","Utah",1,"(D)","(D)",-,-,-
92,"d","Vermont",17,24242,1289611,4,730,40920
92,"d","Virginia",-,-,-,-,-,-
92,"d","Washington",13,"(D)",321065,5,"(D)",28710
92,"d","Wisconsin",15,5107,352515,6,683,43724
92,"d","",,,,,,
92,"d","HERBS, DRIED (POUNDS)",,,,,,
92,"d","",,,,,,
92,"d","United States",40,"(D)","(D)",2,"(D)","(D)"
92,"d","",,,,,,
92,"d","Arizona",1,"(D)","(D)",-,-,-
92,"d","California",6,"(D)","(D)",2,"(D)","(D)"
92,"d","Georgia",1,"(D)","(D)",-,-,-
92,"d","Illinois",1,"(D)","(D)",-,-,-
92,"d","Kentucky",2,"(D)","(D)",-,-,-
92,"d","",,,,,,
92,"d","Maryland",2,"(D)","(D)",-,-,-
92,"d","Missouri",1,"(D)","(D)",-,-,-
92,"d","New Hampshire",2,"(D)","(D)",-,-,-
92,"d","New Mexico",3,"(D)",22739,-,-,-
92,"d","North Carolina",1,"(D)","(D)",-,-,-
92,"d","",,,,,,
92,"d","Oregon",10,115835,988751,-,-,-
92,"d","Washington",6,"(D)","(D)",-,-,-
92,"d","Wisconsin",3,10069,41384,-,-,-
92,"d","Wyoming",1,"(D)","(D)",-,-,-
92,"d","",,,,,,
92,"d","MINT, PEPPERMINT AND",,,,,,
92,"d"," SPEARMINT (POUNDS OF OIL)",,,,,,
92,"d","",,,,,,
92,"d","United States",6,"(D)","(D)",-,-,-
92,"d","",,,,,,
92,"d","Idaho",1,"(D)","(D)",-,-,-
92,"d","Maryland",2,"(D)","(D)",-,-,-
92,"d","New York",2,"(D)","(D)",-,-,-
92,"d","Washington",1,"(D)","(D)",-,-,-
92,"d","",,,,,,
92,"d","OATS (BUSHELS)",,,,,,
92,"d","",,,,,,
92,"d","United States",364,1198257,6293886,36,58822,211440
92,"d","",,,,,,
92,"d","Alabama",-,-,-,-,-,-
92,"d","California",9,42260,298474,-,-,-
92,"d","Idaho",1,"(D)","(D)",-,-,-
92,"d","Illinois",29,142286,736690,4,13824,60969
92,"d","Indiana",2,"(D)","(D)",-,-,-
92,"d","",,,,,,
92,"d","Iowa",72,293293,1549815,17,16463,60178
92,"d","Kansas",5,6189,24327,-,-,-
92,"d","Kentucky",1,"(D)","(D)",-,-,-
92,"d","Maine",4,7480,40230,-,-,-
92,"d","Maryland",-,-,-,-,-,-
92,"d","",,,,,,
92,"d","Michigan",13,"(D)","(D)",1,"(D)","(D)"
92,"d","Minnesota",50,264371,1391776,5,3084,8718
92,"d","Missouri",5,3970,21385,-,-,-
92,"d","Montana",9,10816,65765,-,-,-
92,"d","Nebraska",9,37142,168784,-,-,-
92,"c",""
92,"c","See footnote(s) at end of table.","--continued"
