97,"t","2011 Certified Organic Production Survey: Released October 4, 2012, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
97,"t","Table 6.  Organic Field Crops Harvested and Value of Sales from Certified Organic Farms - United States and States:  2011 (Continued)"
97,"h","","","","","","",""
97,"h","","","","","Sales","Sales","Sales"
97,"h","","","","","","",""
97,"h","","Harvested","Harvested","Harvested","Total  gross value of sales","Total  gross value of sales","Total  gross value of sales"
97,"h","","","","","","",""
97,"h","Crop and geographic area","Farms","Acres","Production","Farms","Quantity","Dollars"
97,"h","","","","","","",""
97,"d","RYE FOR GRAIN OR SEED (BUSHELS) - Con.",,,,,,
97,"d","",,,,,,
97,"d","South Dakota",3,145,4907,3,4907,41955
97,"d","Tennessee",1,"(D)","(D)",-,-,-
97,"d","Vermont",4,45,1302,3,921,8505
97,"d","Virginia",2,"(D)","(D)",2,"(D)","(D)"
97,"d","Wisconsin",31,754,29559,17,16013,138097
97,"d","",,,,,,
97,"d","SAFFLOWER (POUNDS)",,,,,,
97,"d","",,,,,,
97,"d","United States",14,4962,3992578,13,3967578,1084480
97,"d","",,,,,,
97,"d","California",5,"(D)","(D)",5,793235,"(D)"
97,"d","Montana",1,"(D)","(D)",1,"(D)","(D)"
97,"d","North Dakota",1,"(D)","(D)",1,"(D)","(D)"
97,"d","Utah",7,4276,3139773,6,"(D)",863950
97,"d","",,,,,,
97,"d","SORGHUM FOR GRAIN OR SEED,",,,,,,
97,"d"," INCLUDING MILO (BUSHELS)",,,,,,
97,"d","",,,,,,
97,"d","United States",37,3428,207719,27,169666,1579299
97,"d","",,,,,,
97,"d","Illinois",1,"(D)","(D)",1,"(D)","(D)"
97,"d","Indiana",1,"(D)","(D)",-,-,-
97,"d","Kansas",20,2613,162211,15,131949,1226991
97,"d","Maryland",2,"(D)","(D)",-,-,-
97,"d","Missouri",5,279,16847,5,16847,176591
97,"d","",,,,,,
97,"d","New Jersey",1,"(D)","(D)",-,-,-
97,"d","North Carolina",3,397,19167,3,15627,120052
97,"d","North Dakota",2,"(D)","(D)",2,"(D)","(D)"
97,"d","Ohio",1,"(D)","(D)",-,-,-
97,"d","Wisconsin",1,"(D)","(D)",1,"(D)","(D)"
97,"d","",,,,,,
97,"d","SORGHUM FOR SILAGE OR",,,,,,
97,"d"," GREENCHOP (TONS)",,,,,,
97,"d","",,,,,,
97,"d","United States",53,1208,9179,8,5206,146304
97,"d","",,,,,,
97,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
97,"d","California",1,"(D)","(D)",-,-,-
97,"d","Colorado",1,"(D)","(D)",1,"(D)","(D)"
97,"d","Illinois",1,"(D)","(D)",-,-,-
97,"d","Indiana",1,"(D)","(D)",-,-,-
97,"d","",,,,,,
97,"d","Iowa",3,68,61,-,-,-
97,"d","Kansas",1,"(D)","(D)",1,"(D)","(D)"
97,"d","Kentucky",1,"(D)","(D)",-,-,-
97,"d","Minnesota",1,"(D)","(D)",-,-,-
97,"d","Missouri",1,"(D)","(D)",-,-,-
97,"d","",,,,,,
97,"d","New York",6,79,330,-,-,-
97,"d","North Carolina",1,"(D)","(D)",1,"(D)","(D)"
97,"d","Ohio",11,82,603,1,"(D)","(D)"
97,"d","Oregon",1,"(D)","(D)",1,"(D)","(D)"
97,"d","Pennsylvania",11,212,1277,1,"(D)","(D)"
97,"d","",,,,,,
97,"d","Tennessee",1,"(D)","(D)",-,-,-
97,"d","Vermont",2,"(D)","(D)",-,-,-
97,"d","Virginia",2,"(D)","(D)",1,"(D)","(D)"
97,"d","Wisconsin",6,141,810,-,-,-
97,"c",""
97,"c","See footnote(s) at end of table.","--continued"
