101,"t","2016 Organic Survey: Released September 20, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
101,"t","Table 13.  Certified Organic Field Crops and Hay Harvested and Value of Sales:  2016 (continued)"
101,"t","[For meaning of abbreviations and symbols, see introductory text.]"
101,"h","","","","","","",""
101,"h","","Harvested","Harvested","Harvested","Value of sales","Value of sales","Value of sales"
101,"h","","","","","","",""
101,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
101,"h","","","","","","",""
101,"d","BARLEY FOR GRAIN OR",,,,,,
101,"d"," SEED (BUSHELS) - Con.",,,,,,
101,"d","",,,,,,
101,"d","Iowa",23,785,46218,11,19402,130865
101,"d","Kansas",3,910,42400,3,42400,312000
101,"d","Kentucky",4,61,"(D)",3,"(D)","(D)"
101,"d","Maine",2,"(D)","(D)",-,-,-
101,"d","Maryland",17,456,20424,10,14170,116380
101,"d","",,,,,,
101,"d","Michigan",8,316,10442,7,6700,54000
101,"d","Minnesota",47,2135,115823,26,55893,383565
101,"d","Missouri",5,203,8634,1,"(D)","(D)"
101,"d","Montana",16,2247,52036,14,35449,307684
101,"d","Nebraska",6,614,11218,6,11218,88901
101,"d","",,,,,,
101,"d","New York",38,990,41817,21,29328,236271
101,"d","North Carolina",5,198,11900,3,4300,23832
101,"d","North Dakota",14,2385,56091,13,44234,407179
101,"d","Ohio",23,372,17625,13,10010,89518
101,"d","Oklahoma",1,"(D)","(D)",1,"(D)","(D)"
101,"d","",,,,,,
101,"d","Oregon",25,15442,882476,22,832365,7600577
101,"d","Pennsylvania",20,211,13837,5,3500,32600
101,"d","South Dakota",12,718,21250,12,17112,148242
101,"d","Utah",5,530,31005,2,"(D)","(D)"
101,"d","Vermont",6,74,2028,4,1478,15388
101,"d","",,,,,,
101,"d","Virginia",4,219,8900,1,"(D)","(D)"
101,"d","Washington",12,902,57690,11,35766,312091
101,"d","Wisconsin",121,4171,224856,63,79883,587950
101,"d","",,,,,,
101,"d","BUCKWHEAT (BUSHELS)",,,,,,
101,"d","",,,,,,
101,"d","United States",97,6590,134361,84,130433,2531977
101,"d","",,,,,,
101,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)"
101,"d","Indiana",1,"(D)","(D)",1,"(D)","(D)"
101,"d","Iowa",2,"(D)","(D)",2,"(D)","(D)"
101,"d","Kentucky",2,"(D)","(D)",2,"(D)","(D)"
101,"d","Maine",10,22,462,6,6,114
101,"d","",,,,,,
101,"d","Massachusetts",1,"(D)","(D)",-,-,-
101,"d","Michigan",3,26,380,3,380,7046
101,"d","Minnesota",8,470,5911,8,5882,"(D)"
101,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)"
101,"d","Montana",2,"(D)","(D)",2,"(D)","(D)"
101,"d","",,,,,,
101,"d","Nebraska",3,417,10832,3,10832,185000
101,"d","New York",16,904,14136,15,13636,205976
101,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)"
101,"d","North Dakota",12,3632,80064,12,80048,1667197
101,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)"
101,"d","",,,,,,
101,"d","Oregon",3,21,"(D)",3,364,5215
101,"d","Pennsylvania",6,53,1109,5,759,11412
101,"d","South Dakota",4,384,10050,3,8600,172000
101,"d","Virginia",2,"(D)","(D)",2,"(D)","(D)"
101,"d","Washington",7,59,1031,7,901,14314
101,"d","Wisconsin",7,61,1727,2,"(D)","(D)"
101,"d","",,,,,,
101,"d","CANOLA, EDIBLE (POUNDS)",,,,,,
101,"d","",,,,,,
101,"d","United States",4,"(D)",305000,4,305000,"(D)"
101,"d","",,,,,,
101,"d","Indiana",1,"(D)","(D)",1,"(D)","(D)"
101,"d","Iowa",1,"(D)","(D)",1,"(D)","(D)"
101,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)"
101,"d","",,,,,,
101,"d","CHICKPEAS (GARBANZO), ALL (CWT)",,,,,,
101,"d","",,,,,,
101,"d","United States",16,2664,33963,16,21118,1310579
101,"d","",,,,,,
101,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)"
101,"d","California",1,"(D)","(D)",1,"(D)","(D)"
101,"d","Colorado",1,"(D)","(D)",1,"(D)","(D)"
101,"c",""
101,"c","--continued"
