;;;;;;;
;;;;;;;
;;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.;Sales - Con.
;;;;;;;
;;Sold as certified organic;Sold as certified organic;Sold as certified organic;Sold as conventional;Sold as conventional;Sold as conventional
;;;;;;;
;Crop and geographic area;Farms;Quantity;Dollars;Farms;Quantity;Dollars
;United States;1087;9396035;100737609;90;122324;744823
;California;9;66021;702773;-;-;-
;Colorado;10;93723;908378;-;-;-
;Georgia;2;(D);(D);-;-;-
;Idaho;1;(D);(D);-;-;-
;Illinois;62;776528;8780431;14;39716;234417
;Indiana;27;(D);(D);1;(D);(D)
;Iowa;192;1489979;15929482;21;19120;106699
;Kansas;18;(D);(D);2;(D);(D)
;Kentucky;3;3163;34610;-;-;-
;Maine;5;34438;358566;-;-;-
;Maryland;8;115841;1385672;-;-;-
;Michigan;66;1291277;14059140;8;11220;69713
;Minnesota;129;1285225;13345134;10;3889;22951
;Missouri;27;(D);(D);1;(D);(D)
;Montana;1;(D);(D);-;-;-
;Nebraska;66;756983;9367481;8;18323;153270
;New Jersey;-;-;-;-;-;-
;New York;88;(D);(D);3;(D);(D)
;North Carolina;7;(D);(D);1;(D);(D)
;North Dakota;5;46869;462268;-;-;-
;Ohio;82;410702;4532511;7;2517;15897
;Oregon;9;(D);(D);1;(D);(D)
;Pennsylvania;47;(D);(D);2;(D);(D)
;South Carolina;1;(D);(D);-;-;-
;South Dakota;19;217450;2301646;-;-;-
;Tennessee;3;10561;(D);-;-;-
;Texas;4;64073;648149;-;-;-
;Vermont;1;(D);(D);-;-;-
;Virginia;2;(D);(D);-;-;-
;Washington;9;168314;1961546;-;-;-
;West Virginia;-;-;-;-;-;-
;Wisconsin;184;633455;6547065;11;14900;70252
;Wyoming;-;-;-;-;-;-
