;;;;;;;
;;;;;Sales;Sales;Sales
;;Harvested;Harvested;Harvested;Total  gross value of sales;Total  gross value of sales;Total  gross value of sales
;Crop and geographic area;Farms;Acres;Production;Farms;Quantity;Dollars
;United States;805;34700;1872425;386;1257079;6505326
;Alabama;1;(D);(D);-;-;-
;California;12;1623;83476;9;42260;298474
;Idaho;1;(D);(D);1;(D);(D)
;Illinois;36;2570;174967;30;156110;797659
;Indiana;15;221;6828;2;(D);(D)
;Iowa;165;6784;426857;83;309756;1609993
;Kansas;5;127;6189;5;6189;24327
;Kentucky;1;(D);(D);1;(D);(D)
;Maine;14;373;15154;4;7480;40230
;Maryland;1;(D);(D);-;-;-
;Michigan;26;649;26587;13;16841;99605
;Minnesota;92;6284;366399;53;267455;1400494
;Missouri;10;202;7598;5;3970;21385
;Montana;9;355;10816;9;10816;65765
;Nebraska;14;803;40192;9;37142;168784
;New Hampshire;1;(D);(D);-;-;-
;New Mexico;3;8;263;3;(D);1729
;New York;54;1804;66154;34;40489;215991
;North Carolina;2;(D);(D);2;(D);(D)
;North Dakota;31;4314;195928;22;166718;869897
;Ohio;55;1013;45550;14;9861;30707
;Oregon;5;350;37367;2;(D);(D)
;Pennsylvania;28;306;14417;5;2531;12968
;South Carolina;1;(D);(D);1;(D);(D)
;South Dakota;19;1984;90547;14;68789;292931
;Utah;1;(D);(D);1;(D);(D)
;Vermont;4;95;3028;2;(D);(D)
;Washington;5;94;3575;2;(D);(D)
;Wisconsin;191;4251;223490;57;50386;231239
;Wyoming;3;276;15131;3;15131;73027
