;;;;;;;
;;;;;Value of sales;Value of sales;Value of sales
;;Harvested;Harvested;Harvested;Total;Total;Total
;Crop and geographic area;Farms;Acres;Quantity;Farms;Quantity;Dollars
;United States;532;45710;2226811;365;1576023;14479618
;Arizona;3;547;40807;3;40182;384476
;California;21;3692;262333;19;258338;2381723
;Colorado;4;1043;81836;4;80545;688841
;Connecticut;1;(D);(D);1;(D);(D)
;Georgia;2;(D);(D);-;-;-
;Idaho;46;12610;611763;35;274760;2523903
;Illinois;6;200;6750;6;6181;60175
;Indiana;6;52;2464;5;2280;18846
;Iowa;26;913;43960;20;28668;250361
;Kansas;2;(D);(D);-;-;-
;Kentucky;3;22;860;2;(D);(D)
;Louisiana;1;(D);(D);-;-;-
;Maine;9;242;9387;5;4014;43940
;Maryland;9;449;15494;8;14606;144876
;Michigan;9;134;5099;7;3831;36562
;Minnesota;58;3258;136287;33;69643;653711
;Missouri;4;145;5050;2;(D);(D)
;Montana;17;2074;53811;16;47675;486205
;Nebraska;11;662;23606;9;14735;137846
;Nevada;2;(D);(D);2;(D);(D)
;New York;29;1122;41818;20;29184;297265
;North Carolina;7;359;12342;6;5642;59018
;North Dakota;7;1751;105292;7;101434;927585
;Ohio;32;870;25525;22;20420;213807
;Oklahoma;2;(D);(D);2;(D);(D)
;Oregon;31;8225;420137;30;403653;3598219
;Pennsylvania;27;384;19361;9;5424;53484
;South Dakota;7;641;27018;7;25300;195642
;Tennessee;1;(D);(D);1;(D);(D)
;Utah;2;(D);(D);1;(D);(D)
;Vermont;3;70;1800;3;1208;12082
;Virginia;8;360;16593;5;8177;86329
;Washington;13;522;35610;11;30947;299729
;Wisconsin;122;4211;172939;63;66163;613432
;Wyoming;1;(D);(D);1;(D);(D)
