;;;;;;;
;;Value of sales - con.;Value of sales - con.;Value of sales - con.;Value of sales - con.;Value of sales - con.;Value of sales - con.
;;Sold as organic;Sold as organic;Sold as organic;Sold as conventional;Sold as conventional;Sold as conventional
;Crop and geographic area;Farms;Quantity;Dollars;Farms;Quantity;Dollars
;United States;590;1790243;11683656;139;132492;469331
;Arizona;2;(D);(D);-;-;-
;California;12;114476;676542;3;9465;31519
;Colorado;2;(D);(D);-;-;-
;Georgia;1;(D);(D);-;-;-
;Idaho;-;-;-;-;-;-
;Illinois;28;187818;1181086;12;14856;66910
;Indiana;3;3920;23520;-;-;-
;Iowa;112;268487;1755359;27;19885;84258
;Kansas;4;(D);(D);-;-;-
;Kentucky;2;(D);(D);-;-;-
;Maine;5;3374;23077;3;267;888
;Maryland;3;(D);(D);-;-;-
;Massachusetts;-;-;-;-;-;-
;Michigan;19;16813;(D);11;3200;(D)
;Minnesota;58;165090;1204758;22;21240;67363
;Missouri;11;37740;246018;-;-;-
;Montana;6;79749;527632;-;-;-
;Nebraska;20;57665;363726;8;10464;33643
;New York;59;(D);(D);2;(D);(D)
;North Carolina;2;(D);(D);-;-;-
;North Dakota;29;314759;1966689;3;5838;18391
;Ohio;57;58159;414576;8;1301;5139
;Oregon;9;(D);(D);2;(D);(D)
;Pennsylvania;22;24266;163922;3;926;3486
;South Carolina;2;(D);(D);2;(D);(D)
;South Dakota;20;135016;(D);5;24774;(D)
;Texas;1;(D);(D);-;-;-
;Vermont;1;(D);(D);-;-;-
;Virginia;2;(D);(D);-;-;-
;Washington;11;(D);(D);2;(D);(D)
;Wisconsin;82;114674;702380;26;14859;56197
;Wyoming;5;21190;126130;-;-;-
